Nummer,Nummer_im_GIT,Domäne,site_name,ort,community,site_code,domain_seed,prefix4,old_prefix6,prefix6,mesh_id,hide_domain
72,72,domaene72,Freifunk Münsterland Domäne 72,Marl,Emscherland,ffmsd72,ff48143000000000000000000000000000000000000000000000000000000072,10.72.0.,2a03:2260:115:7200::,2a14:440:1:48::,02:d1:11:37:f1:10,false
73,73,domaene73,Freifunk Münsterland Domäne 73,Raesfeld,Borken,ffmsd73,ff48143000000000000000000000000000000000000000000000000000000073,10.73.0.,2a03:2260:115:7300::,2a14:440:1:49::,02:d1:11:37:f1:11,false
74,74,domaene74,Freifunk Münsterland Domäne 74,Recklinghausen,Emscherland,ffmsd74,ff48143000000000000000000000000000000000000000000000000000000074,10.74.0.,2a03:2260:115:7400::,2a14:440:1:4a::,02:d1:11:37:f1:12,false
75,75,domaene75,Freifunk Münsterland Domäne 75,Gronau,Gronau,ffmsd75,ff48143000000000000000000000000000000000000000000000000000000075,10.75.0.,2a03:2260:115:7500::,2a14:440:1:4b::,02:d1:11:37:f1:13,false
76,76,domaene76,Freifunk Münsterland Domäne 76,Herne,Emscherland,ffmsd76,ff48143000000000000000000000000000000000000000000000000000000076,10.76.0.,2a03:2260:115:7600::,2a14:440:1:4c::,02:d1:11:37:f1:14,false
77,77,domaene77,Freifunk Münsterland Domäne 77,Hamm,Hamm,ffmsd77,ff48143000000000000000000000000000000000000000000000000000000077,10.77.0.,2a03:2260:115:7700::,2a14:440:1:4d::,02:d1:11:37:f1:15,false
78,78,domaene78,Freifunk Münsterland Domäne 78,Heppenheim,Bergstrasse,ffmsd78,ff48143000000000000000000000000000000000000000000000000000000078,10.78.0.,2a03:2260:115:7800::,2a14:440:1:4e::,02:d1:11:37:f1:16,false
79,79,domaene79,Freifunk Münsterland Domäne 79,Heppenheim Umgebung,Bergstrasse,ffmsd79,ff48143000000000000000000000000000000000000000000000000000000079,10.79.0.,2a03:2260:115:7900::,2a14:440:1:4f::,02:d1:11:37:f1:17,false
80,80,domaene80,Freifunk Münsterland Domäne 80,Hörstel,Kreis Steinfurt,ffmsd80,ff48143000000000000000000000000000000000000000000000000000000080,10.80.0.,2a03:2260:115:8000::,2a14:440:1:50::,02:d1:11:37:f1:18,false
81,81,domaene81,Freifunk Münsterland Domäne 81,Ibbenbüren,Kreis Steinfurt,ffmsd81,ff48143000000000000000000000000000000000000000000000000000000081,10.81.0.,2a03:2260:115:8100::,2a14:440:1:51::,02:d1:11:37:f1:19,false
82,82,domaene82,Freifunk Münsterland Domäne 82,Ladbergen,Kreis Steinfurt,ffmsd82,ff48143000000000000000000000000000000000000000000000000000000082,10.82.0.,2a03:2260:115:8200::,2a14:440:1:52::,02:d1:11:37:f1:20,false
83,83,domaene83,Freifunk Münsterland Domäne 83,Lengerich,Kreis Steinfurt,ffmsd83,ff48143000000000000000000000000000000000000000000000000000000083,10.83.0.,2a03:2260:115:8300::,2a14:440:1:53::,02:d1:11:37:f1:21,false
84,84,domaene84,Freifunk Münsterland Domäne 84,Lienen,Kreis Steinfurt,ffmsd84,ff48143000000000000000000000000000000000000000000000000000000084,10.84.0.,2a03:2260:115:8400::,2a14:440:1:54::,02:d1:11:37:f1:22,false
85,85,domaene85,Freifunk Münsterland Domäne 85,Saerbeck,Kreis Steinfurt,ffmsd85,ff48143000000000000000000000000000000000000000000000000000000085,10.85.0.,2a03:2260:115:8500::,2a14:440:1:55::,02:d1:11:37:f1:23,false
86,86,domaene86,Freifunk Münsterland Domäne 86,Tecklenburg,Kreis Steinfurt,ffmsd86,ff48143000000000000000000000000000000000000000000000000000000086,10.86.0.,2a03:2260:115:8600::,2a14:440:1:56::,02:d1:11:37:f1:24,false
87,87,domaene87,Freifunk Münsterland Domäne 87,Bad Iburg,Landkreis Osnabrück,ffmsd87,ff48143000000000000000000000000000000000000000000000000000000087,10.87.0.,2a03:2260:115:8700::,2a14:440:1:57::,02:d1:11:37:f1:25,false
88,88,domaene88,Freifunk Münsterland Domäne 88,Georgsmarienhütte,Landkreis Osnabrück,ffmsd88,ff48143000000000000000000000000000000000000000000000000000000088,10.88.0.,2a03:2260:115:8800::,2a14:440:1:58::,02:d1:11:37:f1:26,false
89,89,domaene89,Freifunk Münsterland Domäne 89,Hagen am Teutoburger Wald,Landkreis Osnabrück,ffmsd89,ff48143000000000000000000000000000000000000000000000000000000089,10.89.0.,2a03:2260:115:8900::,2a14:440:1:59::,02:d1:11:37:f1:27,false
90,90,domaene90,Freifunk Münsterland Domäne 90,Datteln,Ostvest,ffmsd90,ff48143000000000000000000000000000000000000000000000000000000090,10.90.0.,2a03:2260:115:9000::,2a14:440:1:5a::,02:d1:11:37:f1:28,false
91,91,domaene91,Freifunk Münsterland Domäne 91,Waltrop,Ostvest,ffmsd91,ff48143000000000000000000000000000000000000000000000000000000091,10.91.0.,2a03:2260:115:9100::,2a14:440:1:5b::,02:d1:11:37:f1:29,false
92,92,domaene92,Freifunk Münsterland Domäne 92,Oer-Erkenschwick,Ostvest,ffmsd92,ff48143000000000000000000000000000000000000000000000000000000092,10.92.0.,2a03:2260:115:9200::,2a14:440:1:5c::,02:d1:11:37:f1:30,false
93,93,domaene93,Freifunk Münsterland Domäne 93,Castrop-Rauxel,Ostvest,ffmsd93,ff48143000000000000000000000000000000000000000000000000000000093,10.93.0.,2a03:2260:115:9300::,2a14:440:1:5d::,02:d1:11:37:f1:31,false
